Exchange,Symbol,Shortname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,Weight
NMS,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,103.51,12139963392,607635968,0.014,0.000231586
NYQ,ALLE,Allegion plc,Industrials,Security & Protection Services,138.84,12096864256,864300032,0.058,0.000230763
NYQ,EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,102.37,11962958848,1574000000,0.017,0.000228209
NMS,FFIV,"F5, Inc.",Technology,Software - Infrastructure,203.15,11840475136,761553024,-0.01,0.000225872
NMS,TECH,Bio-Techne Corp,Healthcare,Biotechnology,73.99,11734813696,310371008,0.016,0.000223857
NYQ,TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,245.17,11551797248,630556992,0.009,0.000220366
NYQ,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,200.76,11430350848,625980032,-0.02,0.000218049
NYQ,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,37.59,11418714112,2552780032,0.098,0.000217827
NYQ,TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,53.97,11186416640,2558799872,-0.004,0.000213395
NYQ,HII,"Huntington Ingalls Industries, ",Industrials,Aerospace & Defense,282.77,11088881664,1160000000,0.068,0.000211535
NYQ,SOLV,Solventum Corporation,Healthcare,Health Information Services,64.11,11072502784,2086000000,0.002,0.000211222
NYQ,CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,60.96,11032540160,427000000,0.233,0.00021046
NMS,QRVO,"Qorvo, Inc.",Technology,Semiconductors,115.89,10993475584,761272000,0.362,0.000209715
NMS,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,41.59,10948816896,1722000000,0.076,0.000208863
NYQ,RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,171.26,10607740928,1036800000,0.01,0.000202356
NYQ,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,90.25,10607352832,-840955008,-0.397,0.000202349
NYQ,BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,20.24,10585480192,1807100032,0.078,0.000201932
NMS,APA,APA Corporation,Energy,Oil & Gas E&P,28.49,10538593280,5416999936,0.463,0.000201037
NYQ,CRL,Charles River Laboratories Inte,Healthcare,Diagnostics & Research,197.75,10209971200,958953984,-0.032,0.000194768
NYQ,AIZ,"Assurant, Inc.",Financial Services,Insurance - Specialty,196.35,10169614336,1321100032,0.071,0.000193999
NYQ,PNW,Pinnacle West Capital Corporati,Utilities,Utilities - Regulated Electric,87.52,9943321600,1918966016,0.167,0.000189682
NYQ,MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",155.14,9791986688,1500772992,-0.051,0.000186795
NYQ,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,115,9694372864,728406016,0.052,0.000184933
NMS,MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,37.21,9596272640,1016995968,0.042,0.000183061
NMS,HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,68.16,9501981696,797500032,-0.177,0.000181263
NYQ,GL,Globe Life Inc.,Financial Services,Insurance - Life,105.05,9435570176,1428763008,0.086,0.000179996
NYQ,TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,40.97,9432154112,1430300032,-0.018,0.000179931
NYQ,GNRC,Generac Holdlings Inc.,Industrials,Specialty Industrial Machinery,156.53,9415702528,596494016,-0.002,0.000179617
NYQ,PAYC,"Paycom Software, Inc.",Technology,Software - Application,162.78,9348845568,650697984,0.091,0.000178341
NYQ,BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,337.32,9347846144,514169984,-0.063,0.000178322
NMS,MKTX,"MarketAxess Holdings, Inc.",Financial Services,Capital Markets,242.39,9150707712,391422016,0.099,0.000174562
NYQ,MOS,Mosaic Company (The),Basic Materials,Agricultural Inputs,28.57,9103488000,1936600064,-0.17,0.000173661
NYQ,DAY,"Dayforce, Inc.",Technology,Software - Application,57.17,9038576640,242300000,0.157,0.000172423
NMS,HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,70.55,8939249664,887000000,0.012,0.000170528
NYQ,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,61.92,8896108544,1411699968,-0.049,0.000169705
NMS,WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,76.88,8533064704,1940977024,0.086,0.000162779
NMS,CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,37.64,8142962176,3712000000,-0.017,0.000155338
NYQ,FMC,FMC Corporation,Basic Materials,Agricultural Inputs,64.58,8061134336,676499968,0.024,0.000153777
NMS,WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,9.25,7985293824,3953999872,0.026,0.00015233
NYQ,NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,Travel Services,17.89,7866072064,2153138944,0.076,0.000150056
NYQ,BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,34.07,7760089600,1871000064,-0.019,0.000148034
NYQ,IVZ,Invesco Ltd,Financial Services,Asset Management,17.09,7691046912,1050800000,0.028,0.000146717
NMS,PARA,Paramount Global,Communication Services,Entertainment,10.47,7457582592,2979000064,-0.105,0.000142263
NMS,AAL,"American Airlines Group, Inc.",Industrials,Airlines,10.62,6974196224,5150000128,0.02,0.000133042
NYQ,BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,30.76,6739885056,1568000000,-0.021,0.000128572
NMS,ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,55.09,6321687552,434888000,0.03,0.000120594
